name,smi,success
1DK,Cc1cc(C)c(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2ccc(CC(=O)O)cc2)cc1C,1
1DL,Cc1ccc(N2C(=O)C(O)=C(C(=O)c3ccccc3)C2c2cc(Br)cs2)cc1C(=O)O,1
1DZ,Cc1cccc(-n2nc(C(=O)O)cc2-c2ccccc2)c1,1
1EJ,O=C(O)c1sc2cc(-n3c(S)nnc3-c3ccc(F)cc3)ccc2c1Cl,1
1EK,O=C(O)CSc1nnc(-c2sc3ccccc3c2Cl)n1-c1ccccc1,1
1EP,CC(C)C1NC(=O)N(Cc2ccc(C(C)(C)C)cc2)C1=O,1
1ER,CC(C)(C)c1cccc(-c2ccc[nH]c2=O)c1,1
1F1,O=C(O)c1ccc2cc[nH]c2c1,1
1FL,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,1
1FT,O=P(O)(O)OCC1OC(SC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,1
1GH,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(C(C)c3ccccn3)c12,1
1HA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1ccc2ccccc2c1O,1
1JR,O=C1NC(c2cccnc2)c2c1n[nH]c2-c1ccccc1,1
1K0,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,1
1KY,COc1ccc(OCCN2CC3CCCC(C2=O)N3S(=O)(=O)c2ccc3[nH]c(=O)sc3c2)cc1OC,1
1KZ,COc1ccc(OCCOC(=O)C2CCCCN2S(=O)(=O)c2ccc3[nH]c(=O)sc3c2)cc1OC,1
1L7,N#C/C(=C\c1ccncc1)C(=O)NCc1ccccc1,1
1LH,CCC([NH2+]C(C)CC(=O)NCC[NH3+])c1ccc(Cl)c(Oc2ccccc2)c1F,1
1LL,OCC1OC(SC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1
1LQ,Nc1ncnc2ccccc12,1
1M0,[H]/C=C/CC(COc1ccc(-c2nc3ccccc3n2Cc2ccccc2)cc1)n1c(-c2ccccc2)nc2ccccc21,1
1M1,c1ccc(C2Nc3ccccc3-c3nc4ccccc4n32)nc1,1
1MV,Cc1ccc(-c2cc3c(NC(P(=O)(O)O)P(=O)(O)O)ncnc3s2)cc1,1
1N1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1
1NP,Oc1cccc2ccccc12,1
1O2,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC1OC(CO)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCC,1
1O8,CC(=C/C=C/C(C)=C/C(=O)O)/C=C1\CCCc2ccccc21,1
1OM,CN(C)c1ccc(C(c2ccc(O)cc2)c2ccc(N(C)C)cc2)cc1,1
1PE,OCCOCCOCCOCCOCCO,1
1PG,COCCOCCOCCOCCOCCO,1
1PT,C1CCC2N[Pt+2]NC2C1,1
1QK,CCc1cnn2c(NCc3ccc[n+](O)c3)cc(N3CCCCC3CCO)nc12,1
1SQ,Nc1nccc2ccccc12,1
1SY,Nc1nc(=O)c2ncn(C3OC4COP(=O)(O)OC5C(COP(=O)(O)OC3C4O)OC(n3cnc4c(N)ncnc43)C5O)c2[nH]1,1
1UN,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,1
1VY,Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1O,1
1WE,CC(N)Cc1ccccc1,1
1WG,O=C1C=C(O)C(=O)C=C1O,1
1WJ,CNc1nc2c(CCC3OC(OC)C(OC)C3O)c3nc(N)[nH]c(=O)c3cc2[nH]1,1
1WK,CNc1nc2c(CCC3OC(OC)C(O)C3O)c3nc(N)[nH]c(=O)c3cc2[nH]1,1
1XS,O=C(O)c1ccc(-c2ccc(F)c(Cl)c2)o1,1
1XT,Cc1cccc(-n2nc(C(=O)O)cc2-c2ccc(OCc3ccc(-c4ccc(C(=O)O)o4)cc3)cc2)c1,1
1XU,O=C(O)c1ccc(-c2ccc(C(=S)NCc3ccc(-c4ccnn4-c4ccc(Cl)c(Cl)c4)cc3)c(Cl)c2)o1,1
1XY,NC1CCOc2ccccc21,1
1YC,Nc1nc2c(ncn2C2OC3COP(=O)(O)OC4C(O)C(COP(=O)(O)OC2C3O)OC4n2cnc3c(N)ncnc32)c(=O)[nH]1,1
1YE,Cc1ccc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,1
1YY,CC1COCCN1CC1CN(S(=O)(=O)c2cccs2)CCN1c1ccc(C(C)(O)C(F)(F)F)cc1,1
1YZ,CCOc1ccc2cccc(-n3cc(NC(N)=O)c(C(N)=O)n3)c2c1,1
20Y,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,1
21G,O=C(O)C1C2CCC(CC2)C1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,1
21Q,CCc1c(C(=O)Nc2cc(S(=O)(=O)N(CC)CC)ccc2O)[nH]c(C)c1C(C)=O,1
22L,O=c1[nH]cnc2scc(-c3ccccc3)c12,1
23D,CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21,1
24W,Nc1cccc2c1CCNC2,1
25G,O=C(Nc1ccc(-c2nnn[nH]2)cc1Cc1ccccc1)c1cccc(CC2CCCCC2)n1,1
